source_file,260630_0019.wav
sample_rate_hz,48000
fft_size,8192
max_frequency_hz,400.000000
dominant_frequency_hz,5.859375

frequency_hz,magnitude
0.000000,22.691707486941
5.859375,17.629569474313
11.718750,2.442931550535
17.578125,16.553302245538
23.437500,13.301338599794
29.296875,14.621577323678
35.156250,14.396057912510
41.015625,4.600990704566
46.875000,10.562153704058
52.734375,3.631246441577
58.593750,7.676577482862
64.453125,8.288031487403
70.312500,9.538055350655
76.171875,8.256485926057
82.031250,5.196394382800
87.890625,5.900099665044
93.750000,1.333911343401
99.609375,2.891866122852
105.468750,1.753428192380
111.328125,1.606225419520
117.187500,2.533086254129
123.046875,2.643554243220
128.906250,2.649823877096
134.765625,4.383476866790
140.625000,6.873277246523
146.484375,5.082097244561
152.343750,3.570635234639
158.203125,1.776774602797
164.062500,0.581485854137
169.921875,1.533707275576
175.781250,2.879989457617
181.640625,2.271157212827
187.500000,1.370930903033
193.359375,0.799111503809
199.218750,0.775121889183
205.078125,1.298121108984
210.937500,1.405487135042
216.796875,1.751115318543
222.656250,1.598285936853
228.515625,0.937304172734
234.375000,0.702956519680
240.234375,0.440806970103
246.093750,1.543144831912
251.953125,1.050408270738
257.812500,0.984356588207
263.671875,0.754770039119
269.531250,0.179320247953
275.390625,1.074147010873
281.250000,0.868587967031
287.109375,0.487880303563
292.968750,0.486679223296
298.828125,0.168811695142
304.687500,0.325897700898
310.546875,0.380266601930
316.406250,0.389009310036
322.265625,0.368424715642
328.125000,0.261133729046
333.984375,0.178537695375
339.843750,0.309936558209
345.703125,0.361310645545
351.562500,0.465666084172
357.421875,0.339655474647
363.281250,0.373339694324
369.140625,0.927620930547
375.000000,1.066541084271
380.859375,1.023634107683
386.718750,0.694955411906
392.578125,0.104132880701
398.437500,0.256525579274
