source_file,260630_0019.wav
sample_rate_hz,48000
fft_size,8192
dominant_frequency_hz,5.859375
note,first-window FFT only; dominant_frequencies.csv uses full-file average spectrum

frequency_hz,magnitude
0.000000,22.691707486941
5.859375,17.629569474313
11.718750,2.442931550535
17.578125,16.553302245538
23.437500,13.301338599794
29.296875,14.621577323678
35.156250,14.396057912510
41.015625,4.600990704566
46.875000,10.562153704058
52.734375,3.631246441577
58.593750,7.676577482862
64.453125,8.288031487403
70.312500,9.538055350655
76.171875,8.256485926057
82.031250,5.196394382800
87.890625,5.900099665044
93.750000,1.333911343401
99.609375,2.891866122852
105.468750,1.753428192380
111.328125,1.606225419520
117.187500,2.533086254129
123.046875,2.643554243220
128.906250,2.649823877096
134.765625,4.383476866790
140.625000,6.873277246523
146.484375,5.082097244561
152.343750,3.570635234639
158.203125,1.776774602797
164.062500,0.581485854137
169.921875,1.533707275576
175.781250,2.879989457617
181.640625,2.271157212827
187.500000,1.370930903033
193.359375,0.799111503809
199.218750,0.775121889183
205.078125,1.298121108984
210.937500,1.405487135042
216.796875,1.751115318543
222.656250,1.598285936853
228.515625,0.937304172734
234.375000,0.702956519680
240.234375,0.440806970103
246.093750,1.543144831912
251.953125,1.050408270738
257.812500,0.984356588207
263.671875,0.754770039119
269.531250,0.179320247953
275.390625,1.074147010873
281.250000,0.868587967031
287.109375,0.487880303563
292.968750,0.486679223296
298.828125,0.168811695142
304.687500,0.325897700898
310.546875,0.380266601930
316.406250,0.389009310036
322.265625,0.368424715642
328.125000,0.261133729046
333.984375,0.178537695375
339.843750,0.309936558209
345.703125,0.361310645545
351.562500,0.465666084172
357.421875,0.339655474647
363.281250,0.373339694324
369.140625,0.927620930547
375.000000,1.066541084271
380.859375,1.023634107683
386.718750,0.694955411906
392.578125,0.104132880701
398.437500,0.256525579274
404.296875,0.528806035394
410.156250,0.247357720762
416.015625,0.435997655220
421.875000,0.713064612355
427.734375,0.502881262463
433.593750,0.952984814423
439.453125,0.466735011573
445.312500,0.178864323201
451.171875,0.248447366031
457.031250,0.320709478494
462.890625,0.420279342596
468.750000,0.388977375379
474.609375,0.273838305937
480.468750,0.464278467691
486.328125,0.235651508202
492.187500,0.666258213058
498.046875,0.525143338939
503.906250,0.371066659513
509.765625,1.552744792670
515.625000,1.344933989308
521.484375,0.495135145545
527.343750,0.662723078656
533.203125,0.158480540787
539.062500,1.119397084509
544.921875,1.404418525536
550.781250,0.982588209058
556.640625,0.284143759625
562.500000,0.536357126415
568.359375,0.342582495285
574.218750,0.689702795020
580.078125,0.352921016794
585.937500,0.500728010906
591.796875,0.984319733389
597.656250,0.930573526751
603.515625,0.532399598879
609.375000,0.540899759652
615.234375,0.775611623957
621.093750,0.260553686642
626.953125,0.558160797929
632.812500,0.485096804074
638.671875,0.495644810237
644.531250,0.902329695376
650.390625,0.648677168778
656.250000,0.865474246813
662.109375,1.210443720367
667.968750,0.638427662599
673.828125,0.691076348137
679.687500,0.702347912589
685.546875,0.679051212573
691.406250,0.605821502434
697.265625,0.522441393620
703.125000,0.657171864040
708.984375,0.660415378196
714.843750,0.246066567407
720.703125,0.741734220341
726.562500,0.673782294909
732.421875,0.584082040403
738.281250,0.337091890555
744.140625,0.505622148786
750.000000,0.546365935696
755.859375,0.516208533176
761.718750,0.292852170091
767.578125,0.293080803336
773.437500,0.119888500496
779.296875,0.413799874629
785.156250,0.460811750015
791.015625,0.288181294114
796.875000,0.735871566067
