time_seconds,dominant_frequency_hz,dominant_magnitude
0.085333,351.562500,37.680984722082
0.170667,169.921875,48.210387542191
0.256000,158.203125,24.879847089958
0.341333,164.062500,31.381948208264
0.426667,175.781250,19.782593756241
0.512000,123.046875,20.318145453799
0.597333,41.015625,21.520833079637
0.682667,35.156250,23.945072390392
0.768000,357.421875,16.553524736629
0.853333,123.046875,19.132108772743
0.938667,41.015625,22.044775550748
1.024000,210.937500,19.798221682101
1.109333,23.437500,20.373223255836
1.194667,23.437500,21.167849828697
1.280000,41.015625,18.458574976846
1.365333,23.437500,14.372084256719
1.450667,35.156250,23.088499862309
1.536000,123.046875,25.859752066011
1.621333,210.937500,15.960284621327
1.706667,41.015625,26.716577325603
1.792000,181.640625,24.230476344680
1.877333,187.500000,40.198239378865
1.962667,146.484375,28.857748439544
2.048000,152.343750,44.047556633980
2.133333,193.359375,33.128119461316
2.218667,158.203125,37.978811222233
2.304000,158.203125,45.760053916140
2.389333,140.625000,32.669863605565
2.474667,333.984375,33.094901047748
2.560000,41.015625,27.295375975182
2.645333,363.281250,26.461744449811
2.730667,169.921875,22.340029822883
2.816000,134.765625,27.499834699088
2.901333,41.015625,27.420542594949
2.986667,181.640625,35.340236392386
3.072000,322.265625,26.799559403953
3.157333,322.265625,37.970907124216
3.242667,134.765625,34.078913330353
3.328000,158.203125,31.830630721273
3.413333,152.343750,29.087876061185
3.498667,146.484375,29.973452319593
3.584000,316.406250,31.359976036918
3.669333,345.703125,22.931574935250
3.754667,41.015625,25.563892776669
3.840000,23.437500,25.685443067551
3.925333,41.015625,26.606545394218
4.010667,181.640625,21.274598946250
4.096000,169.921875,32.509318657493
4.181333,146.484375,21.567460159645
4.266667,23.437500,25.359457539210
4.352000,169.921875,14.500542860541
4.437333,169.921875,18.613857224040
4.522667,41.015625,28.030492837806
4.608000,41.015625,29.279208957831
4.693333,41.015625,23.948456554362
4.778667,35.156250,17.062811758753
4.864000,158.203125,33.025204765978
4.949333,23.437500,29.905131656414
5.034667,181.640625,23.292732939566
5.120000,175.781250,22.131936762228
5.205333,41.015625,23.203780492216
5.290667,123.046875,22.837550070450
5.376000,146.484375,25.634818523951
5.461333,23.437500,23.874285517549
5.546667,175.781250,24.931422052395
5.632000,41.015625,25.767781868141
5.717333,164.062500,20.625795994863
5.802667,41.015625,22.142132839809
5.888000,41.015625,24.094359181192
5.973333,146.484375,25.173222756859
6.058667,41.015625,17.553883358724
