time_seconds,dominant_frequency_hz,dominant_magnitude
0.085333,41.015625,32.459023871219
0.170667,41.015625,35.646749483480
0.256000,41.015625,40.263065961538
0.341333,41.015625,26.517233870677
0.426667,23.437500,41.225873987485
0.512000,29.296875,29.519416014734
0.597333,41.015625,37.130919219829
0.682667,35.156250,31.834297774812
0.768000,41.015625,33.333758626781
0.853333,41.015625,25.592963618213
0.938667,35.156250,15.296263693164
1.024000,41.015625,39.941749637343
1.109333,29.296875,25.322304452640
1.194667,41.015625,24.981867381882
1.280000,41.015625,34.892023444049
1.365333,41.015625,25.655402683453
1.450667,41.015625,35.242090967111
1.536000,41.015625,36.092167715173
1.621333,41.015625,33.839781945971
1.706667,35.156250,24.840930368514
1.792000,41.015625,29.914894357701
1.877333,41.015625,29.050631647972
1.962667,41.015625,35.699271715818
2.048000,35.156250,34.015143688123
2.133333,41.015625,25.845235059535
2.218667,41.015625,32.902326881343
2.304000,41.015625,38.288254695208
2.389333,41.015625,31.202405113896
2.474667,41.015625,42.518163681787
2.560000,41.015625,33.708152035038
2.645333,41.015625,29.983665647637
2.730667,41.015625,24.744868673759
2.816000,41.015625,23.354953245027
2.901333,41.015625,30.897658392772
2.986667,41.015625,33.063012600726
3.072000,41.015625,29.573811571774
3.157333,41.015625,29.683583777099
3.242667,41.015625,34.085166005214
3.328000,41.015625,32.342314261454
3.413333,41.015625,32.515134054889
3.498667,41.015625,28.296483214961
3.584000,41.015625,48.828961471911
3.669333,41.015625,32.801885595357
3.754667,35.156250,26.533238102748
3.840000,41.015625,29.230780821373
3.925333,23.437500,20.091676215534
4.010667,41.015625,40.695285207558
4.096000,41.015625,29.132495049291
4.181333,23.437500,31.419699556728
4.266667,41.015625,32.025318715133
4.352000,41.015625,45.241084625911
4.437333,41.015625,33.362555289431
4.522667,41.015625,31.955923464144
4.608000,41.015625,38.440130667045
4.693333,41.015625,42.399998816340
4.778667,41.015625,34.136181271427
4.864000,41.015625,30.146871313732
4.949333,41.015625,33.843821772240
5.034667,41.015625,25.279367644860
5.120000,41.015625,38.529737558083
5.205333,41.015625,16.378895239380
5.290667,41.015625,32.382754899406
5.376000,41.015625,35.800823133465
5.461333,41.015625,35.159523686607
5.546667,41.015625,35.953030856660
5.632000,41.015625,35.019860023590
5.717333,41.015625,32.034701514899
5.802667,41.015625,35.085560739401
5.888000,41.015625,35.322045954763
5.973333,41.015625,30.308776139834
6.058667,41.015625,35.095437408013
6.144000,41.015625,37.207712382779
